Which_Iphone,Extracted_Model,Price,Memory(GB),battery_percentage,State,Seller,City,Region,Model_Series,Model_Type
15,15,340000,128,94,Б/у,Бизнес,Алматы,Алматинская область,15,
14,14 pro,435000,128,88,Новый,Бизнес,Алматы,Алматинская область,14,pro
12,12 mini,95000,128,84,Б/у,Частное лицо,Алматы,Алматинская область,12,mini
16,16 pro max,347000,512,99,Новый,Частное лицо,Темиртау,Карагандинская область,16,pro max
13,13,180000,256,88,Б/у,Частное лицо,Семей,Восточно-Казахстанская область,13,
15,15 pro,350000,128,94,Б/у,Частное лицо,Павлодар,Павлодарская область,15,pro
14,14 pro max,400000,256,88,Б/у,Частное лицо,Сарыкамыс,Атырауская область,14,pro max
12,12 mini,225000,64,84,Б/у,Частное лицо,Рудный,Костанайская область,12,mini
14,14 pro max,335000,128,87,Б/у,Бизнес,Астана,Акмолинская область,14,pro max
15,15 pro max,450000,256,93,Б/у,Бизнес,Караганда,Карагандинская область,15,pro max
14,14 pro max,360000,256,95,Б/у,Частное лицо,Бесагаш,Алматинская область,14,pro max
14,14,240000,128,91,Б/у,Бизнес,Атырау,Атырауская область,14,
12,12 pro max,200000,128,84,Б/у,Частное лицо,Алматы,Алматинская область,12,pro max
15,15,300000,128,100,Новый,Бизнес,Шымкент,Туркестанская область,15,
14,14 pro max,500000,256,92,Б/у,Частное лицо,Каскелен,Алматинская область,14,pro max
13,13 pro,260000,256,80,Б/у,Частное лицо,Шымкент,Туркестанская область,13,pro
15,15 pro,450000,128,94,Б/у,Частное лицо,Актобе,Актюбинская область,15,pro
15,15 pro,400000,128,94,Новый,Частное лицо,Лисаковск,Костанайская область,15,pro
15,15,300000,128,99,Б/у,Частное лицо,Актобе,Актюбинская область,15,
12,12,130000,128,78,Б/у,Частное лицо,Чунджа,Алматинская область,12,
13,13,250000,128,100,Новый,Частное лицо,Алматы,Алматинская область,13,
12,12 mini,100000,128,80,Б/у,Частное лицо,Караганда,Карагандинская область,12,mini
14,14 pro max,340000,128,90,Б/у,Частное лицо,Мичуринское,Западно-Казахстанская область,14,pro max
